Precinct,"Address (street, city, state, zip)",Latitude,Longitude,GeocodeSource
ARKADELPHIA FIRE DEPT_,"5023 Co Rd 35, Bremen, AL 35033",33.903182,-86.9595104,Google
BAILEYTON SR_ CTR,"195 Fire Station Road Baileyton, AL 35019",34.2645844,-86.6152053,Google
BALDWIN FAMILY LIFE CTR,"95 Co Rd 1153, Cullman, AL 35057",34.1891092,-86.9160225,Google
BATTLEGROUND FIRE DEPT_,"239 Co Rd 1101, Vinemont, AL 35179",34.3052192,-86.9998664,Google
BEAT 8 COMM CTR,"63 Co Rd 15, Bremen, AL 35033",33.91350389999999,-87.02212519999999,Google
BERLIN COMM CTR,"3309 US-278, Cullman, AL 35055",34.1798846,-86.7481672,Google
BETHEL COMM CTR,"12 Co Rd 1117, Cullman, AL 35057",34.194912,-86.982703,Google
BETHSADIA FIRE DEPT_,"454 Co Rd 804, Cullman, AL 35057",34.1508373,-86.9283815,Google
BOLTE WHITE GROVE,"1350 County Road 702, Cullman, AL 35055",34.147378,-86.8069797,Google
BREMEN FIRE DEPT_,"28277 County Rd 222, Cullman, AL 35057",33.9996802,-86.9673182,Google
BROOKLYN COMM CTR,"954 Brooklyn Rd, Holly Pond, AL 35083",34.2271201,-86.6185296,Google
BRUSHY POND COMM CTR,"2729 Co Rd 143, Bremen, AL 35033",34.0343034,-87.00616000000001,Google
CENTER HILL COMM CTR,"12666-, 12754 Co Rd 747, Hanceville, AL 35077",34.0931389,-86.72744639999999,Google
COLD SPRGS COMM CTR,"8869 Co Rd 109, Bremen, AL 35033",33.981259,-87.029839,Google
COLONY ED_ COMPLEX,"151 Byars Rd, Hanceville, AL 35077",33.9484036,-86.88703199999999,Google
COURTHOUSE CONF_ ROOM,"500 2nd Ave SW, Cullman, AL 35055",34.1724003,-86.8417231,Google
CRANE HILL FIRE DEPT_ COMM BLD,"15123 County Road 222, Crane Hill, AL 35053",34.0934221,-87.0626798,Google
CULLMAN CITY HALL,"204 2nd Ave NE, Cullman, AL 35055",34.1798317,-86.84249299999999,Google
CULLMAN CO_ HEALTH DEPT_,"601 Logan Ave SW, Cullman, AL 35055",34.169286,-86.8658157,Google
CULLMAN OFFICE BLDG_,"402 Arnold St NE, Cullman, AL 35055",34.1808446,-86.8404303,Google
DODGE CITY COMM CTR,"130 Howard Cir, Hanceville, AL 35077",34.0506269,-86.8696863,Google
DONALD E_ GREEN SR CTR,"1625 Cleveland Ave SW, Cullman, AL 35055",34.1614095,-86.8529152,Google
EAST POINT COMM CTR,"AL-69, Cullman, AL 35055",34.1558599,-86.8385419,Google
FAIRVIEW FIRE DEPT_ A-K,"7555 AL-69, Cullman, AL 35058",34.2461241,-86.686466,Google
FAIRVIEW TOWN HALL_ L-Z,"7525 AL-69, Cullman, AL 35058",34.2461563,-86.6869368,Google
FRIENDSHIP METHODIST,"1104 Co Rd 1435, Cullman, AL 35058",34.2183851,-86.8295286,Google
GARDEN CITY TOWN HALL,"501 1st Ave S, Hanceville, AL 35077",34.0102878,-86.749966,Google
GOLD RIDGE COMM CTR,"5225 Co Rd 1545, Cullman, AL 35058",34.2630244,-86.7503996,Google
GOOD HOPE CITY HALL,"135 Municipal Drive, Cullman, AL 35057",34.1088838,-86.86701649999999,Google
GRANDVIEW COMM CTR,"237 Co Rd 421, Cullman, AL 35057",34.1249447,-86.9052358,Google
HANCEVILLE CITY HALL,"112 Main St SE, Hanceville, AL 35077",34.0587171,-86.767129,Google
HANCEVILLE CIVIC CTR,"902 Commercial St, Hanceville, AL 35077",34.0626624,-86.7585368,Google
HOLLY POND FIRE DEPT_,"10915 US-278, Holly Pond, AL 35083",34.1746956,-86.61516069999999,Google
JONES CHAPEL FIRE DEPT_,"96 County Rd 940, Cullman, AL 35057",34.207525,-87.053552,Google
JOPPA FIRE DEPT_,"15437 AL-69, Joppa, AL 35087",34.2946529,-86.569079,Google
KELLEY COMM CTR,"1270 Co Rd 1435, Vinemont, AL 35179",34.2205344,-86.8287204,Google
LOGAN FIRE DEPT_,"4225 Co Rd 818, Logan, AL 35098",34.1377193,-87.0082257,Google
MOODY TOWN UNION HILL,"17633 AL-91 W, Hanceville, AL 35077",33.9716544,-86.8323228,Google
NEW CANAAN SR_ CTR,"2506 U.S. Highway 231 South, Arab, AL 35016",34.2882197,-86.4961719,Google
PROVIDENCE FIRE DEPT_,"60 Ridgeway St, Cullman, AL 35058",34.23861309999999,-86.86331919999999,Google
SIMCOE COMM CTR,"4235 AL-69 NORTH, Cullman, AL 35058",34.2249402,-86.73860289999999,Google
STOUTS MTN_ BAPTIST,"3775 Co Rd 522, Hanceville, AL 35077",34.0350893,-86.8362063,Google
TRIMBLE FIRE DEPT_,"7744 Co Rd 813, Cullman, AL 35057",34.0951331,-86.9491353,Google
VALLEY GROVE COMM CTR,"308 Co Rd 426, Cullman, AL 35057",34.0692862,-86.9207828,Google
VINEMONT COMM CTR,"88 Ridgeway St, Cullman, AL 35058",34.23906729999999,-86.862901,Google
WALTER COMM CTR,"85-299 Co Rd 663, Cullman, AL 35055",34.1196092,-86.6788816,Google
WELTI MT_ ZION,"5041 County Rd 703, Cullman, AL 35055",34.1397186,-86.742409,Google
WEST POINT COMM CTR,"3990 Co Rd 1141, West Point, AL 35179",34.2401118,-86.956812,Google
WHITE CITY COMM CTR,"1540 Co Rd 617, Hanceville, AL 35077",34.0963765,-86.7706943,Google
