Precinct,"Address (street, city, state, zip)",Latitude,Longitude,GeocodeSource
1ST PRESBYTERIAN CH,"224 E Mobile St, Florence, AL 35630",34.801624700000005,-87.67409826968209,Nominatim
ANDERSON GYMNASIUM,"201 Bayles St, Anderson, AL 35610",34.92394636672478,-87.26516746699998,Nominatim
ATLAS CH OF CHRIST,"3461 Lauderdale County 73, Killen, AL 35645",34.91253,-87.5168923,Google
BROADWAY RECREATION CTR_,"300 N Broadway St, Florence, AL 35630",34.8206462,-87.63849287085486,Nominatim
CENTRAL BAPT_ CH,"1600 Huntsville Rd, Florence, AL 35630",34.80697485,-87.65425076164246,Nominatim
CENTRAL COMM_ CTR_,"4130 Co Rd 6, Florence, AL 35633",34.8994685,-87.8016628,Google
CHRIST CHAPEL CH,"3051 Cloverdale Rd, Florence, AL 35633",34.86845720650314,-87.69161522822338,Nominatim
CLOVERDALE COMM_ CTR,"17420 Co Rd 8, Florence, AL 35633",34.9355887,-87.77081419999999,Google
CTR_ STAR 1ST BAPT_,"6620 US-72, Killen, AL 35645",34.859487629974154,-87.4980962999689,Nominatim
E CAMPUS WOODMONT BAPT_,"2002 Darby Dr, Florence, AL",34.837535216198596,-87.65112510490205,Nominatim
ELGIN SENIOR CTR_,"2519 AL-101, Rogersville, AL 35652",34.8473627,-87.3918198,Google
FAIRGROUNDS RD SENIOR,"415 Fairground Rd Florence, AL 35630",34.837516303742234,-87.68106588909163,Nominatim
FLORENCE- 1ST BAPT_,"209 N Walnut St, Florence, AL 35630",34.80465078426736,-87.67374950633118,Nominatim
FLORENCE BLVD CH OF CHRIST,"2502 Florence Blvd, Florence, AL 35630",34.82780655,-87.6362519058516,Nominatim
FLORENCE- HIGH SCH,"1201 Bradshaw Dr, Florence, AL 35630",34.8354753,-87.66429698946175,Nominatim
GRADY RICHARDS CTR_,"541 Riverview Dr, Florence, AL 35630",34.7936169,-87.67973571159688,Nominatim
HANDY RECREATION CTR_,"1105 Beale St, Florence, AL 35630",34.79919718903712,-87.6908292854701,Nominatim
HIBBETT SCHOOL,"1601 Appleby Blvd, Florence, AL 35630",34.8223234,-87.69566587970786,Nominatim
HIGHLAND BAPT_ CH,"219 Simpson St, Florence, AL 35630",34.81890055,-87.6791886362929,Nominatim
KILLEN CH OF CHRIST,"1560 US-72, Killen, AL 35645",34.859487629974154,-87.4980962999689,Nominatim
LAUDERDALE CO_ BOARD,"355 Co Rd 61, Florence, AL 35634",34.8327629,-87.62227,Google
LEXINGTON SENIOR CTR_,"100 McGuire Ln, Lexington, AL 35648",34.9753467601265,-87.36859900901351,Nominatim
OAKLAND VFD,"5300 Co Rd 15, Florence, AL 35633",34.8407382,-87.7980903,Google
ROGERSVILLE 1ST BAPT_,"222 College St, Rogersville, AL 35652",34.826362700000004,-87.2919984166812,Nominatim
SALEM CH OF CHRIST ACTIVITY,"9671 AL-17, Florence, AL 35634",34.956852,-87.66975287344488,Nominatim
SHERROD AVE CH OF CHRIST,"1207 Sherrod Ave, Florence, AL 35630",34.825421809689495,-87.68859368883506,Nominatim
ST_ FLORIAN SR CTR_,"81 St Florian Rd, Florence, AL 35630",34.87255825,-87.62599846125437,Nominatim
ST_ JAMES UMC,"610 Cox Creek Pkwy, Florence, AL 35630",34.84381309773403,-87.65070966202252,Nominatim
STEWARTVILLE CH CHRIST,"Hwy 20, RR-4 Box 176A, Florence, AL 35633",34.79981,-87.677251,Google
UNDERWOOD COMM_ CTR,"840 Co Rd 7, Florence, AL 35633",34.8735031,-87.6900931,Google
WATERLOO SENIOR CTR_,"8501 Co Rd 14, Waterloo, AL 35677",34.9175884,-88.06036089999999,Google
