Precinct,"Address (street, city, state, zip)",Latitude,Longitude,GeocodeSource
A & M UNIVERSITY NEW GYM,"4900 Meridian Street NW, Normal, AL, 35762",34.7838707,-86.5775697,Google
ALDERSGATE UMC,"12901 Bailey Cove Rd SE, Huntsville, AL, 35803",34.6236248,-86.53697439999999,Google
BOB HARRISON SR_ CTR_,"6156 Pulaski Pike NW, Huntsville, AL, 35810",34.8041457,-86.61812239999999,Google
BOBO VFD,"585 Ed Baeder Rd, Hazel Green, AL, 35750",34.9551166,-86.6406908,Google
BROWNSBORO BAPT CH,"4315 US-72, Brownsboro, AL, 35741",34.7392467,-86.4343074,Google
CAVALRY HILL COMMUNITY CTR,"2900 Fairbanks St NW, Huntsville, AL, 35816",34.7384029,-86.6127387,Google
CH OF JESUS CHRIST LDS,"1297 Slaughter Rd, Madison, AL, 35758",34.7350398,-86.7091665,Google
CHASE PARK CH OF CHRIST,"1640 Winchester Rd NE, Huntsville, AL, 35811",34.80751680000001,-86.5122136,Google
CLUBHOUSE ON GREEN MTN,"13010 South Village Square Road, Huntsville, AL, 35803",34.6102181,-86.5169623,Google
CO_ COMMISSION DIST_ 1,"9457 Moores Mill Rd, New Market, AL, 35761",34.9022396,-86.52790220000001,Google
COMM_ FELLOWSHIP,"7905 Logan Dr SW, Huntsville, AL, 35802",34.6566605,-86.57256319999999,Google
CORNERSTONE PRESBYTERIAN,"1413 McClung Ave SE, Huntsville, AL 35801",34.7299412,-86.5633592,Google
COVE UMC,"366 Old 431 Hwy, Owens Cross Roads, AL, 35763",34.6587583,-86.4718627,Google
COVENANT PRESBYTERIAN CH,"301 Drake Ave SE, Huntsville, AL, 35802",34.7056712,-86.5660972,Google
CROSS ROADS COMM CTR,"11329 Pulaski Pike, Toney, AL, 35773",34.91511430000001,-86.716263,Google
DAYSTAR CH-MADISON,"171 Trademark Dr SW, Huntsville, AL, 35824",34.6548498,-86.7499639,Google
DR_ RICHARD SHOWERS CTR_,"4600 Blue Spring Rd NW, Huntsville, AL, 35810",34.7834187,-86.5981362,Google
FAITH LUTHERAN CH,"660 Gillespie Rd, Madison, AL, 35758",34.728205,-86.7649107,Google
FARLEY COMMUNITY CH,"12302 Bell Rd SW, Huntsville, AL, 35803",34.6079931,-86.57997429999999,Google
FIRST BAPT CH,"600 Governors Drive SW, Huntsville, AL, 35801",34.7209456,-86.5881654,Google
FIRST BAPT MERDIANVILLE,"175 Monroe Rd, Meridianville, AL, 35759",34.8595328,-86.5750862,Google
FIRST MISSIONARY BAPT,"3509 Blue Spring Rd NW, Huntsville, AL, 35810",34.7681814,-86.59987819999999,Google
GURLEY REC_ CTR_,"311 3rd St, Gurley, AL 35748",34.6901364,-86.3779742,Google
HAMPTON COVE CH CHRIST,"409 Old Big Cove Rd, Brownsboro, AL 35741",34.6775587,-86.5001039,Google
HAROLD HARBIN GYM,"172 Carriger Rd, Hazel Green, AL 35750",34.961154,-86.5648259,Google
HILLWOOD BAPT CH,"300 Kohler Rd SE, Huntsville, AL 35803",34.62904109999999,-86.56280629999999,Google
HOPE CHURCH,"1111 Pulaski Pike NW, Huntsville, AL 35816",34.7356883,-86.60234249999999,Google
HOPE VALLEY BIBLE CH,"2135 US-72, Huntsville, AL 35811",34.7726482,-86.51214790000002,Google
HOUSE OF HOPE & RESTORATION,"2525 Aspen Ave NW, Huntsville, AL 35810",34.7632001,-86.6342535,Google
INDIAN CREEK BAPT CH,"380 Indian Creek Rd NW, Huntsville, AL 35806",34.7667412,-86.6886902,Google
INTERGRAPH CORP_,"245 Business Park Blvd, Madison, AL 3575836 ",34.6708479,-86.7406104,Google
JACKSON WAY BAPT CH,"1001 Andrew Jackson Way NE, Huntsville, AL 35801",34.7464532,-86.57802799999999,Google
LAKEWOOD COMM_ CTR_,"3601 NW Kenwood Dr, Huntsville, AL 35810",34.7734158,-86.5900104,Google
LEWIS CHAPEL C_ P_ CH,"5001 Pulaski Pike NW, Huntsville, AL 35810",34.7881689,-86.6170657,Google
LINCOLN CH OF CHRIST,"1307 Meridian St N, Huntsville, AL 35801",34.74823050000001,-86.5842706,Google
LITTLE INDIAN CREEK,"884 Indian Creek Rd NW, Huntsville, AL 35806",34.7830465,-86.6878342,Google
LOCUST GROVE BAPT CH,"171 County Lake Rd, New Market, AL 35761",34.8440213,-86.4581693,Google
MADISON BAPT CH,"840 Balch Rd, Madison, AL 35758",34.7386512,-86.76960280000002,Google
MADISON CITY HALL,"100 Hughes Rd, Madison, AL 35758",34.7009797,-86.74300769999999,Google
MADISON MISSION 7TH DAY,"183 Shelton Rd, Madison, AL 35758",34.6945169,-86.7171845,Google
MADISON PUBLIC LIBRARY,"142 Plaza Blvd, Madison, AL 35758",34.7107303,-86.744162,Google
MARK RUSSELL REC CTR,"429 Taylor Rd, Owens Cross Roads, AL 35763",34.6485911,-86.4829116,Google
MARY KELLY JOHNSTON GYM,"145 Caty Humma Ln, Meridianville, AL 35759",34.8496009,-86.5700197,Google
MAYSVILLE CH CHRIST,"3017 Gurley Pike, Gurley, AL 35748",34.7654335,-86.41577420000002,Google
MERDIANVILLE CH CHRIST,"12228 US-231, Meridianville, AL 35759",34.8688468,-86.5703711,Google
MONROVIA CH CHRIST,"595 Nance Rd, Madison, AL 35757",34.7712533,-86.7305294,Google
MONROVIA COMM_ CTR_,"254 Allen Drake Dr, Huntsville, AL 35806",34.8114205,-86.71628969999999,Google
MONTE SANO UMC,"601 SE Monte Sano Blvd, Huntsville, AL 35801",34.7408722,-86.5304922,Google
MOVEMENT CH,"1469 Browns Ferry Rd, Madison, AL 35758",34.7270634,-86.7811937,Google
MT_ ZION BAPT CH,"228 Mt Zion Rd, Huntsville, AL 35806",34.7857002,-86.7196788,Google
NEW HOPE CITY HALL,"5484 Main Dr, New Hope, AL 35760",34.5373099,-86.3945626,Google
NEW MARKET REC CTR,"447 Hurricane Rd, New Market, AL 35761",34.90937,-86.421548,Google
OAKWOOD UNIVERSITY CH,"5500 Adventist Blvd NW, Huntsville, AL 35896",34.7530063,-86.6507816,Google
OPTIMIST PARK REC CTR_,"703 Oakwood Ave NE, Huntsville, AL 35811",34.749896,-86.5744555,Google
OWENS CROSS ROADS CH,"124 Eastwood Drive, Owens Cross Roads, AL, 35763",34.6139073,-86.4546518,Google
OWENS CROSS ROADS,"9032 Hwy 431 South, Owens Cross Roads, AL, 35763",34.5881461,-86.4588768,Google
PINE GROVE BAPT CH,"759 Pine Grove Rd UNIT A, Harvest, AL 35749",34.794924,-86.7652667,Google
PINEVIEW BAPT CH,"5614 AL-53, Harvest, AL 35749",34.8389531,-86.7038496,Google
PLAINVIEW CH CHRIST,"14500 US-231, Hazel Green, AL 35750",34.942291,-86.57018959999999,Google
PLEVNA/NEW MARKET FIRE DEPT,"125 Old Winchester Road, New Market, 35761",34.9618639,-86.41538369999999,Google
PROVIDENCE BAPT CH,"1355 Douglass Rd NW, Huntsville, AL 35806",34.8028412,-86.73220719999999,Google
RESTORATION CH,"1500 Stevens Ave NE, Huntsville, AL 35801",34.7445491,-86.56740239999999,Google
SHERWOOD BAPT CH,"6600 Old Madison Pike, Huntsville, AL 35806",34.71365550000001,-86.6675618,Google
SOUTHWOOD PRESBYTERIAN,"1000 Carl T Jones Dr SE, Huntsville, AL 35802",34.6867925,-86.5583316,Google
ST_ JOHNS CATHOLIC CH,"1055 Hughes Rd, Madison, AL 35758",34.732578,-86.7390436,Google
ST_ LUKE CHRISTIAN CH,"1800 Sparkman Dr NW, Huntsville, AL 35816",34.745141,-86.645522,Google
ST_ MATTHEW PB CHURCH,"3200 Sparkman Dr NW, Huntsville, AL 35810",34.7607948,-86.61188990000001,Google
ST_ PAUL'S UMC,"3250 Dunn St SW, Huntsville, AL 35805",34.7092081,-86.61116229999999,Google
THE WHITESBURG CTR_,"5000 Whitesburg Dr, Huntsville, AL 35802",34.6909858,-86.5689999,Google
TONEY UMC,"5465 Old Railroad Bed Rd, Toney, AL 35773",34.8903893,-86.7355035,Google
TRIANA CITY HALL,"640 6th St, Madison, AL 35756",34.5833646,-86.7337788,Google
TRINITY UMC,"607 Airport Rd SW, Huntsville, AL 3580225",34.6902475,-86.5705088,Google
UNIVERSITY BAPT CH,"809 Jordan Ln NW, Huntsville, AL 35816",34.7317757,-86.62822609999999,Google
W HUNTSVILLE CH CHRIST,"1519 Old Monrovia Rd NW, Huntsville, AL 35806",34.75442450000001,-86.679565,Google
WALL HWY BAPT CH,"6597 Wall Triana Hwy, Madison, AL 35757",34.7748342,-86.7487088,Google
WEATHERLY HGTS BAPT,"1306 Cannstatt Dr SE, Huntsville, AL 35803",34.6430181,-86.54667189999999,Google
WEST HUNTSVILLE BAPT,"2211 SW Triana Blvd, Huntsville, AL 35805",34.7172039,-86.60865629999999,Google
WESTSIDE COMM_ CTR_,"125 Earl St SW, Huntsville, AL 35805",34.7216193,-86.6019544,Google
WILLOWBROOK BAPT CH,"7625 Bailey Cove Rd SE, Huntsville, AL 35802",34.6685934,-86.53750819999999,Google
