Precinct,"Address (street, city, state, zip)",Latitude,Longitude,GeocodeSource
1ST BAPT AUSTINVILLE,"521 Austinville Rd SW, Decatur, AL 35601",34.57961894854312,-86.98775728399596,Nominatim
1ST BAPT CH HARTSELLE,"210 Woodland St NW, Hartselle, AL 35640",34.44823635235999,-86.93613006102854,Nominatim
AMER LEGION BLDG POST 15,"2607 Hwy 31 S, Decatur, AL 35603",34.51968313835152,-86.97412375212338,Nominatim
AQUADOME REC CTR,"1202 5th Ave SW, Decatur, AL 35601",34.601324576248565,-86.99399589155077,Nominatim
BCOMING CH / EPIC CH,"607 14th Street SE, Decatur, AL 35601",34.57813046110321,-86.98024176406824,Nominatim
BURNINGTREE COUNTRY CLUB,"2521 Burningtree Dr SE, Decatur, AL 35603",34.518820854779,-86.93860160611239,Nominatim
CARRIE MATTHEWS REC CTR,"902 6th St NW, Decatur, AL 35601",34.61490839483713,-87.00477708506476,Nominatim
COTACO FIRE STATION,"6463 AL-36, Somerville, AL 35670",34.48178495253851,-86.68927669783011,Nominatim
COUNTY COURTHOUSE,"302 Lee St NE, Decatur, AL 35601",34.605546378774285,-86.98400396343081,Nominatim
COUNTY DISTRICT 3 VOTING,"1694 Highway 55 East, Falkville, AL 35622",34.3550833,-86.839395,Google
CTR SPRINGS METHODIST CH,"4851 E Upper River Rd Somerville, AL 35670",34.5126794,-86.751351,Google
DANVILLE VFD,"220 Park Ave, Danville, WV 25053",38.0786508,-81.83535239999999,Google
DECATUR BAPT CH,"2527 Danville Rd SW, Decatur, AL 35603",34.53356653985635,-87.01620588506684,Nominatim
DECATUR CH OF CHRIST,"2833 Danville Rd SW, Decatur, AL 35603",34.53356653985635,-87.01620588506684,Nominatim
DECATUR FIRE & POLICE TRNG CTR,"4119 Old Hwy 31, Decatur, AL 35603",34.51968313835152,-86.97412375212338,Nominatim
DECATUR UTILITIES,"1002 Central Pkwy SW, Decatur, AL 35601",34.60092592611696,-86.99023744494308,Nominatim
EVA TOWN HALL,"11 Adams Rd, Eva, AL 35621",34.33257572514288,-86.75274762843011,Nominatim
FALKVILLE MUN BLDG,"21 N 1st Ave, Falkville, AL 35622",34.36795571808673,-86.90742909929095,Nominatim
FIRST BIBLE CH,"3202 Spring Ave SW, Decatur, AL 35603",34.5488467751481,-87.00030517482594,Nominatim
FORT DECATUR REC CTR,"610 4th Ave SE, Decatur, AL 35601",34.579392216361704,-86.98312020753531,Nominatim
GRACE POINT BAPT CH,"190 Eva Rd, Somerville, AL 35670",34.4101219,-86.70212529999999,Google
GUM POND FIRE STATION,"2101 Gum Pond Rd, Eva, AL 35621",34.3303268,-86.6748394,Google
JOHN J SPARKMAN CIVIC,"406 Nance Ford Rd SW, Hartselle, AL 35640",34.4301303,-86.9363561484098,Nominatim
LACEY'S SPRING SR CTR,"10139 AL-36, Laceys Spring, AL 35754",34.5330541,-86.6002506,Google
LEBANON BAPT CH,"1255 Hwy 55 W, Falkville, AL 35622",34.3701638,-86.96888609999999,Google
MACEDONIA C P CHURCH,"1820 Old Moulton Rd, Decatur, AL 35601",34.590653120036926,-87.02941247140619,Nominatim
MASSEY FIRE DEPT,"386 Evergreen Rd, Falkville, AL 35622",34.3591531,-87.0207195,Google
NEEL VFD,"70 Neel School Rd, Danville, AL 35619",34.4678514,-87.0602821,Google
NEW CTR BAPT CH,"587 Church Rd, Hartselle, AL 35640",34.4775031,-86.85100248210895,Nominatim
ODEN RIDGE VFD,"199 Lawrence Cove Rd, Eva, AL 35621",34.37349409999999,-86.7653747,Google
POINT MALLARD EVENT CTR,"2901 Point Mallard Cir SE, Decatur, AL 35601",34.571708,-86.94113349999999,Google
PRICEVILLE EVENT CTR,"250 Marco Dr, Decatur, AL 35603",34.538121,-86.90389019999999,Google
S_A_V_E_S_ FIRE DEPT #1,"794 Cut-Off Rd, Somerville, AL 35670",34.458817628963914,-86.79908779336007,Nominatim
TRI-COUNTY VFD,"11667 AL-67, Joppa, AL 35087",34.3220119,-86.603713,Google
TRINITY MUN BLDG,"35 Preston Dr, Trinity, AL 35673",34.61080523232678,-87.08732852524126,Nominatim
TURNER SURLES COMM CTR,"702 Sycamore St NW, Decatur, AL 35601",34.615857526417415,-86.98545631139464,Nominatim
UNION HILL SR CTR,"11 Union Hill Loop, Union Grove, AL 35175",34.4741414,-86.6207421,Google
W MORGAN E LAWRENCE W&S,"2547 Kirby Bridge Rd, Decatur, AL 35603",34.5237064,-87.0807497,Google
WESTMEADE BAPT CH,"2030 Beltline Rd SW, Decatur, AL 35601",34.586226782731,-87.02599871045275,Nominatim
