Column Number,Address,City,State,Zip,Longitude,Latitude,SRC
1,11690 Highway 41,Leeds,AL,35094,-86.54358922,33.49632342,Google
2,12205 Highway 43,Vandiver,AL,35176,-86.510516462602,33.473291084589,USCB
3,49484 Highway 25,Sterrett,AL,35147,-86.478162861717,33.441123124645,USCB
4,6121 Highway 85,Vincent,AL,35178,-86.40921432657,33.373615510333,USCB
5,39321 Highway 25,Harpersville,AL,35078,-86.439059405363,33.342910097445,USCB
6,11580 Highway 280,Sterrett,AL,35147,-86.542697693612,33.350185573013,USCB
7,2020 Highway 39,Chelsea,AL,35043,-86.634091602187,33.336597127711,USCB
8,4100 Belcher Drive,Birmingham,AL,35242,-86.667930342531,33.376648416697,USCB
9,6690 Cahaba Valley Road,Birmingham,AL,35242,-86.678878481197,33.408923275136,USCB
10,280 19220 Highway 280,Birmingham,AL,35242,-86.662010634802,33.368909405969,USCB
11,100 New Williamsburg Road,Birmingham,AL,35242,-86.615268521034,33.43896908813,USCB
12,1000 Farmhouse Road,Birmingham,AL,35242,-86.634236343398,33.42302109547,USCB
13,4100 Greystone Drive,Birmingham,AL,35242,-86.652883243511,33.426451738544,USCB
14,3145 Brook Highland Parkway,Birmingham,AL,35242,-86.669233629681,33.438951674587,USCB
15,4984 Meadow Brook Road,Birmingham,AL,35242,-86.693891739103,33.408230602075,USCB
16,5521 Double Oak Lane,Birmingham,AL,35242,-86.733165049811,33.35911023675,USCB
17,4954 Valleydale Road,Birmingham,AL,35242,-86.714012206162,33.400137280297,USCB
18,2324 Valleydale Road,Birmingham,AL,35244,-86.76458422935552,33.367425938372214,Google
19,1868 Montgomery Highway,Birmingham,AL,35244,-86.79537921183,33.351267762909,USCB
20,500 Amphitheater Road,Pelham,AL,35124,-86.791983115104,33.327850720391,USCB
21,110 Sports Complex Drive,Helena,AL,35080,-86.84625462935719,33.30114905178368,Google
22,3721 Highway 52,Helena,AL,35080,-86.86421124469797,33.29554462759599,Google
23,210 Lacey Avenue,Maylene,AL,35114,-86.865488334258,33.223337865914,USCB
24,100 Harvest Way,Alabaster,AL,35007,-86.825469894454,33.25716482732,USCB
25,1155 Alabaster Boulevard,Alabaster,AL,35007,-86.791196066225,33.241849156095,USCB
26,423 Thompson Road,Alabaster,AL,35007,-86.83860898588595,33.23832573674337,Google
27,111 School Street,Wilsonville,AL,35186,-86.48436034469947,33.237139147600644,Google
28,11101 Chelsea Road,Chelsea,AL,35043,-86.626820036325,33.334719893358,USCB
29,5458 Cahaba Valley Road,Birmingham,AL,35242,-86.712071849999,33.368481363716,USCB
30,1100 College Drive,Montevallo,AL,35115,-86.86652741586747,33.10877454504442,Google
31,6161 Highway 10,Montevallo,AL,35115,-86.933538223378,33.154293802271,USCB
32,2020 Crossvine Road,Hoover,AL,35244,-86.802159103019,33.356772592091,USCB
33,5091 Caldwell Mill Road,Birmingham,AL,35242,-86.738016541849,33.398703856536,USCB
34,600 Whippoorwill Lane,Calera,AL,35040,-86.748937347049,33.12202562087,USCB
35,11215 Highway 22,Calera,AL,35040,-86.754756050824,33.15476538918,USCB
36,19445 Highway 145,Shelby,AL,35143,-86.556946863446,33.094751425066,USCB
37,105 West College Street,Columbiana,AL,35051,-86.60925520628,33.17864354524,USCB
38,101 Chelsea Park Drive,Chelsea,AL,35043,-86.585103732259,33.34992753969,USCB
